0.1,red,(99.0, 155.0)
0.1,green,(102.0, 158.0)
0.1,blue,(111.44381713867188, 161.40036010742188)
0.2,red,(65.0, 98.0)
0.2,green,(64.0, 99.0)
0.2,blue,(68.52775573730469, 100.22412109375)
0.3,red,(45.0, 73.0)
0.3,green,(48.0, 74.0)
0.3,blue,(50.491973876953125, 75.99541473388672)
0.4,red,(36.0, 57.0)
0.4,green,(38.0, 58.0)
0.4,blue,(39.0, 59.0)
0.5,red,(30.0, 47.0)
0.5,green,(32.0, 48.0)
0.5,blue,(32.0, 49.0)
0.6,red,(26.0, 43.0)
0.6,green,(27.0, 42.0)
0.6,blue,(27.0, 42.0)
0.7,red,(23.0, 35.0)
0.7,green,(24.0, 37.0)
0.7,blue,(25.0, 36.0)
0.8,red,(20.0, 31.0)
0.8,green,(22.28101921081543, 32.57026290893555)
0.8,blue,(22.0, 31.0)
0.9,red,(18.0, 27.0)
0.9,green,(19.316572189331055, 29.141380310058594)
0.9,blue,(19.0, 28.0)
1.0,red,(15.0, 24.0)
1.0,green,(17.0, 27.0)
1.0,blue,(18.0, 26.0)
1.1,red,(14.0, 23.0)
1.1,green,(15.0, 24.0)
1.1,blue,(16.0, 24.0)
1.2,red,(14.0, 21.0)
1.2,green,(15.0, 22.0)
1.2,blue,(14.0, 21.0)
